epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,596.392,0.93352,0.51644,1.11189,0.94015,0.9125,0.95352,0.63208,1.03109,0.50532,1.21774,0.000615781,0.000615781,0.000615781
43,610.199,0.9274,0.51375,1.11033,0.91114,0.90548,0.9482,0.62173,1.04165,0.50643,1.23307,0.000600313,0.000600313,0.000600313
44,623.983,0.92991,0.51347,1.11122,0.9209,0.89876,0.92867,0.63322,1.04381,0.51732,1.23331,0.000584844,0.000584844,0.000584844
45,637.775,0.91906,0.50655,1.109,0.92224,0.92477,0.94831,0.63864,1.0438,0.52289,1.22105,0.000569375,0.000569375,0.000569375
46,651.79,0.91459,0.49928,1.09655,0.92191,0.93959,0.9541,0.6433,1.0402,0.50839,1.23118,0.000553906,0.000553906,0.000553906
47,665.643,0.91373,0.50157,1.10437,0.921,0.9277,0.95203,0.6453,1.01743,0.49068,1.21969,0.000538438,0.000538438,0.000538438
48,679.508,0.90917,0.49617,1.09812,0.91879,0.93379,0.95071,0.63733,1.04657,0.50982,1.23109,0.000522969,0.000522969,0.000522969
49,693.259,0.89801,0.48873,1.09567,0.8955,0.94159,0.94062,0.63745,1.03451,0.50783,1.23281,0.0005075,0.0005075,0.0005075
50,707.158,0.9048,0.49604,1.09882,0.91381,0.93296,0.95403,0.63397,1.02436,0.491,1.21781,0.000492031,0.000492031,0.000492031
51,721.256,0.89564,0.48907,1.09331,0.92354,0.91381,0.9488,0.63958,1.03843,0.50309,1.22739,0.000476562,0.000476562,0.000476562
52,735.155,0.89425,0.48701,1.09402,0.92741,0.92884,0.95486,0.65783,1.01366,0.48812,1.20649,0.000461094,0.000461094,0.000461094
53,749.302,0.87611,0.47467,1.08639,0.91709,0.93034,0.94782,0.65348,1.00367,0.47638,1.20762,0.000445625,0.000445625,0.000445625
54,763.159,0.87375,0.4732,1.07495,0.93593,0.92077,0.95291,0.62088,0.99998,0.49247,1.2097,0.000430156,0.000430156,0.000430156
55,777.23,0.87949,0.47161,1.08462,0.92295,0.91749,0.95295,0.64454,1.01417,0.47499,1.21194,0.000414688,0.000414688,0.000414688
56,790.937,0.86919,0.46564,1.07766,0.93211,0.91986,0.9514,0.64436,1.01893,0.49098,1.22561,0.000399219,0.000399219,0.000399219
